"# Study Name: 40 cycle data",,,,,,,,
"# Study Description: ",,,,,,,,
"# Study Comments: ",,,,,,,,
"# Created By: GUEST",,,,,,,,
"# Last Modified Date/Time: 05-13-2014 10:55:39 EDT",,,,,,,,
"# Number of Experiments in Study: 1",,,,,,,,
"# Instrument Type in the Study: QuantStudioﾙ 12K Flex Real-Time PCR System",,,,,,,,
"# Barcode: LJE04 ",,,,,,,,
"# Normalization Method: Endogenous Control = [U6 rRNA_001973  RNU44_001094  RNU48_001006]",,,,,,,,
"# Reference Sample: KW1_1B",,,,,,,,
"# Max CT: 40.0",,,,,,,,
"# Default CRT Analysis Start Cycle: 1.0",,,,,,,,
"# Efficiency:",,,,,,,,
"# RQ Min/Max Calculation: Confidence Level = 95.0% ",,,,,,,,
,,,,,,,,
"Experiment Name","Barcode","Well","Cycle Number","Sample Name","Target Name","Rn","dRn","Omit"
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C1g3",36,"KW1_1A","hsa-let-7a_000377",2963.566,1538.635,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C1g3",37,"KW1_1A","hsa-let-7a_000377",2986.36,1561.75,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C1g3",38,"KW1_1A","hsa-let-7a_000377",3013.307,1587.772,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C1g3",39,"KW1_1A","hsa-let-7a_000377",3056.864,1625.993,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C1g3",40,"KW1_1A","hsa-let-7a_000377",3081.537,1650.332,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",1,"KW3_1A","hsa-let-7a_000377",1239.156,34.606,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",2,"KW3_1A","hsa-let-7a_000377",1231.159,25.947,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",3,"KW3_1A","hsa-let-7a_000377",1235.083,25.467,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",4,"KW3_1A","hsa-let-7a_000377",1222.172,14.732,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",5,"KW3_1A","hsa-let-7a_000377",1235.172,22.206,
